arquivo,num_vars,num_clausulas,tempo,resultado
2sat_10vars_0.cnf,10,40,.002341512,UNSAT
2sat_10vars_1.cnf,10,40,.002849664,UNSAT
2sat_10vars_2.cnf,10,40,.002910748,UNSAT
2sat_10vars_3.cnf,10,40,.002447054,UNSAT
2sat_10vars_4.cnf,10,40,.003865124,UNSAT
2sat_11vars_0.cnf,11,44,.002398230,UNSAT
2sat_11vars_1.cnf,11,44,.003071959,UNSAT
2sat_11vars_2.cnf,11,44,.002858725,UNSAT
2sat_11vars_3.cnf,11,44,.002353946,UNSAT
2sat_11vars_4.cnf,11,44,.004501298,UNSAT
2sat_12vars_0.cnf,12,48,.002539485,UNSAT
2sat_12vars_1.cnf,12,48,.003064405,UNSAT
2sat_12vars_2.cnf,12,48,.002213010,UNSAT
2sat_12vars_3.cnf,12,48,.002437049,UNSAT
2sat_12vars_4.cnf,12,48,.003800370,UNSAT
2sat_3vars_0.cnf,3,12,.002216848,SAT
2sat_3vars_1.cnf,3,12,.002981531,SAT
2sat_3vars_2.cnf,3,12,.003241248,UNSAT
2sat_3vars_3.cnf,3,12,.002333938,UNSAT
2sat_3vars_4.cnf,3,12,.002671098,UNSAT
2sat_4vars_0.cnf,4,16,.002237147,SAT
2sat_4vars_1.cnf,4,16,.002613579,UNSAT
2sat_4vars_2.cnf,4,16,.004119586,UNSAT
2sat_4vars_3.cnf,4,16,.002029104,UNSAT
2sat_4vars_4.cnf,4,16,.002933637,UNSAT
2sat_5vars_0.cnf,5,20,.002388777,UNSAT
2sat_5vars_1.cnf,5,20,.002722596,SAT
2sat_5vars_2.cnf,5,20,.003560413,UNSAT
2sat_5vars_3.cnf,5,20,.002412542,UNSAT
2sat_5vars_4.cnf,5,20,.002864595,UNSAT
2sat_6vars_0.cnf,6,24,.002248363,UNSAT
2sat_6vars_1.cnf,6,24,.003052288,UNSAT
2sat_6vars_2.cnf,6,24,.004215091,UNSAT
2sat_6vars_3.cnf,6,24,.002029494,UNSAT
2sat_6vars_4.cnf,6,24,.002985062,UNSAT
2sat_7vars_0.cnf,7,28,.002360533,UNSAT
2sat_7vars_1.cnf,7,28,.002357847,UNSAT
2sat_7vars_2.cnf,7,28,.003631539,UNSAT
2sat_7vars_3.cnf,7,28,.002476463,UNSAT
2sat_7vars_4.cnf,7,28,.003548564,UNSAT
2sat_8vars_0.cnf,8,32,.002401027,UNSAT
2sat_8vars_1.cnf,8,32,.002363644,UNSAT
2sat_8vars_2.cnf,8,32,.003736661,UNSAT
2sat_8vars_3.cnf,8,32,.002345269,UNSAT
2sat_8vars_4.cnf,8,32,.004011862,UNSAT
2sat_9vars_0.cnf,9,36,.002330868,UNSAT
2sat_9vars_1.cnf,9,36,.002998939,UNSAT
2sat_9vars_2.cnf,9,36,.002280757,UNSAT
2sat_9vars_3.cnf,9,36,.002365426,UNSAT
2sat_9vars_4.cnf,9,36,.004052593,UNSAT
