arquivo,num_vars,num_clausulas,tempo,resultado
2sat_10vars_0.cnf,10,40,.002054970,UNSAT
2sat_10vars_1.cnf,10,40,.002920494,UNSAT
2sat_10vars_2.cnf,10,40,.004074974,UNSAT
2sat_10vars_3.cnf,10,40,.002400943,UNSAT
2sat_10vars_4.cnf,10,40,.002329323,UNSAT
2sat_11vars_0.cnf,11,44,.002737014,UNSAT
2sat_11vars_1.cnf,11,44,.002344832,UNSAT
2sat_11vars_2.cnf,11,44,.003836139,UNSAT
2sat_11vars_3.cnf,11,44,.002189185,UNSAT
2sat_11vars_4.cnf,11,44,.003051756,UNSAT
2sat_12vars_0.cnf,12,48,.002525133,UNSAT
2sat_12vars_1.cnf,12,48,.002994246,UNSAT
2sat_12vars_2.cnf,12,48,.003925712,UNSAT
2sat_12vars_3.cnf,12,48,.002531711,UNSAT
2sat_12vars_4.cnf,12,48,.002547731,UNSAT
2sat_3vars_0.cnf,3,12,.003281435,SAT
2sat_3vars_1.cnf,3,12,.002437176,SAT
2sat_3vars_2.cnf,3,12,.002572083,UNSAT
2sat_3vars_3.cnf,3,12,.002475137,UNSAT
2sat_3vars_4.cnf,3,12,.002539903,UNSAT
2sat_4vars_0.cnf,4,16,.004173226,SAT
2sat_4vars_1.cnf,4,16,.002219768,UNSAT
2sat_4vars_2.cnf,4,16,.002848638,UNSAT
2sat_4vars_3.cnf,4,16,.002237365,UNSAT
2sat_4vars_4.cnf,4,16,.002376461,UNSAT
2sat_5vars_0.cnf,5,20,.004043788,UNSAT
2sat_5vars_1.cnf,5,20,.002320756,SAT
2sat_5vars_2.cnf,5,20,.002605944,UNSAT
2sat_5vars_3.cnf,5,20,.002120315,UNSAT
2sat_5vars_4.cnf,5,20,.002353134,UNSAT
2sat_6vars_0.cnf,6,24,.004080845,UNSAT
2sat_6vars_1.cnf,6,24,.002315860,UNSAT
2sat_6vars_2.cnf,6,24,.003370781,UNSAT
2sat_6vars_3.cnf,6,24,.002308947,UNSAT
2sat_6vars_4.cnf,6,24,.002413835,UNSAT
2sat_7vars_0.cnf,7,28,.002831566,UNSAT
2sat_7vars_1.cnf,7,28,.002480464,UNSAT
2sat_7vars_2.cnf,7,28,.003954396,UNSAT
2sat_7vars_3.cnf,7,28,.002368099,UNSAT
2sat_7vars_4.cnf,7,28,.002665809,UNSAT
2sat_8vars_0.cnf,8,32,.002831863,UNSAT
