arquivo,num_vars,num_clausulas,tempo,resultado
2sat_10vars_0.cnf,10,40,.004355280,UNSAT
2sat_10vars_1.cnf,10,40,.002623211,UNSAT
2sat_10vars_2.cnf,10,40,.002660839,UNSAT
2sat_10vars_3.cnf,10,40,.003183521,UNSAT
2sat_10vars_4.cnf,10,40,.002594956,UNSAT
2sat_11vars_0.cnf,11,44,.003634229,UNSAT
2sat_11vars_1.cnf,11,44,.003422813,UNSAT
2sat_11vars_2.cnf,11,44,.002649954,UNSAT
2sat_11vars_3.cnf,11,44,.004007247,UNSAT
2sat_11vars_4.cnf,11,44,.002721816,UNSAT
2sat_12vars_0.cnf,12,48,.003270262,UNSAT
2sat_12vars_1.cnf,12,48,.003404715,UNSAT
2sat_12vars_2.cnf,12,48,.002456276,UNSAT
2sat_12vars_3.cnf,12,48,.003895947,UNSAT
2sat_12vars_4.cnf,12,48,.002570811,UNSAT
2sat_3vars_0.cnf,3,12,.002544058,SAT
2sat_3vars_1.cnf,3,12,.003678238,SAT
2sat_3vars_2.cnf,3,12,.002374140,UNSAT
2sat_3vars_3.cnf,3,12,.003269810,UNSAT
2sat_3vars_4.cnf,3,12,.002793675,UNSAT
2sat_4vars_0.cnf,4,16,.003513239,SAT
2sat_4vars_1.cnf,4,16,.005974858,UNSAT
2sat_4vars_2.cnf,4,16,.003005141,UNSAT
2sat_4vars_3.cnf,4,16,.004496468,UNSAT
2sat_4vars_4.cnf,4,16,.002953429,UNSAT
2sat_5vars_0.cnf,5,20,.003123428,UNSAT
2sat_5vars_1.cnf,5,20,.002295040,SAT
2sat_5vars_2.cnf,5,20,.002458699,UNSAT
2sat_5vars_3.cnf,5,20,.003532123,UNSAT
2sat_5vars_4.cnf,5,20,.002365259,UNSAT
2sat_6vars_0.cnf,6,24,.003233370,UNSAT
2sat_6vars_1.cnf,6,24,.002306412,UNSAT
2sat_6vars_2.cnf,6,24,.002527395,UNSAT
2sat_6vars_3.cnf,6,24,.002279632,UNSAT
2sat_6vars_4.cnf,6,24,.002391086,UNSAT
2sat_7vars_0.cnf,7,28,.004256100,UNSAT
2sat_7vars_1.cnf,7,28,.002535602,UNSAT
2sat_7vars_2.cnf,7,28,.003482230,UNSAT
2sat_7vars_3.cnf,7,28,.002164297,UNSAT
2sat_7vars_4.cnf,7,28,.002672993,UNSAT
2sat_8vars_0.cnf,8,32,.003116716,UNSAT
2sat_8vars_1.cnf,8,32,.002249473,UNSAT
2sat_8vars_2.cnf,8,32,.003831158,UNSAT
2sat_8vars_3.cnf,8,32,.002213508,UNSAT
2sat_8vars_4.cnf,8,32,.003058697,UNSAT
2sat_9vars_0.cnf,9,36,.004972848,UNSAT
2sat_9vars_1.cnf,9,36,.002602209,UNSAT
2sat_9vars_2.cnf,9,36,.002413629,UNSAT
2sat_9vars_3.cnf,9,36,.003355671,UNSAT
2sat_9vars_4.cnf,9,36,.002262812,UNSAT
auto_10vars_0.cnf,10,50,.003425950,UNSAT
auto_10vars_1.cnf,10,50,.002414291,UNSAT
auto_10vars_2.cnf,10,50,.002740929,UNSAT
auto_10vars_3.cnf,10,50,.003307106,UNSAT
auto_10vars_4.cnf,10,50,.002485121,UNSAT
auto_11vars_0.cnf,11,55,.003563659,UNSAT
auto_11vars_1.cnf,11,55,.002262593,UNSAT
auto_11vars_2.cnf,11,55,.002433475,UNSAT
auto_11vars_3.cnf,11,55,.003602203,UNSAT
auto_11vars_4.cnf,11,55,.002816474,UNSAT
auto_12vars_0.cnf,12,60,.003439912,UNSAT
auto_12vars_1.cnf,12,60,.002531442,UNSAT
auto_12vars_2.cnf,12,60,.002818421,UNSAT
auto_12vars_3.cnf,12,60,.002465524,UNSAT
auto_12vars_4.cnf,12,60,.002805940,UNSAT
auto_3vars_0.cnf,3,15,.003808054,UNSAT
auto_3vars_1.cnf,3,15,.002147715,UNSAT
auto_3vars_2.cnf,3,15,.002674914,UNSAT
auto_3vars_3.cnf,3,15,.002540012,UNSAT
auto_3vars_4.cnf,3,15,.002974083,UNSAT
auto_4vars_0.cnf,4,20,.003163694,UNSAT
auto_4vars_1.cnf,4,20,.002494814,UNSAT
auto_4vars_2.cnf,4,20,.004105223,SAT
auto_4vars_3.cnf,4,20,.002143736,UNSAT
auto_4vars_4.cnf,4,20,.002787148,UNSAT
auto_5vars_0.cnf,5,25,.003828097,UNSAT
auto_5vars_1.cnf,5,25,.002464604,UNSAT
auto_5vars_2.cnf,5,25,.003379322,UNSAT
auto_5vars_3.cnf,5,25,.002364070,UNSAT
auto_5vars_4.cnf,5,25,.002568422,UNSAT
auto_6vars_0.cnf,6,30,.002990922,UNSAT
auto_6vars_1.cnf,6,30,.002464471,UNSAT
auto_6vars_2.cnf,6,30,.003939630,UNSAT
auto_6vars_3.cnf,6,30,.002239744,UNSAT
auto_6vars_4.cnf,6,30,.003702303,UNSAT
auto_7vars_0.cnf,7,35,.002369269,UNSAT
auto_7vars_1.cnf,7,35,.002739656,UNSAT
auto_7vars_2.cnf,7,35,.003171356,UNSAT
auto_7vars_3.cnf,7,35,.002235530,UNSAT
auto_7vars_4.cnf,7,35,.003676115,UNSAT
auto_8vars_0.cnf,8,40,.002290989,UNSAT
auto_8vars_1.cnf,8,40,.002974299,UNSAT
auto_8vars_2.cnf,8,40,.002652696,UNSAT
auto_8vars_3.cnf,8,40,.002759013,UNSAT
auto_8vars_4.cnf,8,40,.003642290,UNSAT
auto_9vars_0.cnf,9,45,.002397863,UNSAT
auto_9vars_1.cnf,9,45,.003241127,UNSAT
auto_9vars_2.cnf,9,45,.002865847,UNSAT
auto_9vars_3.cnf,9,45,.002640637,UNSAT
auto_9vars_4.cnf,9,45,.003401882,UNSAT
